filename,labels_gt,labels,pass,score
005847,person|train,train,0,0.9
008834,sofa,sofa,1,1.0
003479,dog,dog|person|sheep,0,0.8052631578947368
001551,chair|tv,chair|sofa|tv,0,0.9
006925,car,car,1,1.0
007061,car,car,1,1.0
004975,cat,cat,1,1.0
007616,horse|person,horse|person,1,1.0
008984,bird,bird,1,1.0
003641,person|sofa,person|sofa,1,1.0
009622,person,person,1,1.0
005538,cat,cat,1,1.0
003964,dog,dog,1,1.0
004187,car,car,1,1.0
005372,car,car,1,1.0
000837,boat,boat,1,1.0
005532,bird,bird,1,1.0
005540,bicycle,bicycle,1,1.0
004453,car,car|person,0,0.9
003602,person,person,1,1.0
001419,chair|person,person,0,0.9
005746,bus|car|person,bus|car|person,1,1.0
007659,dog,dog,1,1.0
007252,horse|person,horse|person,1,1.0
004680,aeroplane,aeroplane,1,1.0
001519,chair,chair|sofa,0,0.9
005010,dog,dog|sofa,0,0.9
001276,chair|potted plant,chair,0,0.9
006563,person,person|sofa,0,0.9
005578,sheep,sheep,1,1.0
009206,car,car,1,1.0
006076,bird|person,person,0,0.9
009928,chair|potted plant,chair|dining table|potted plant,0,0.9
007462,bird|sheep,sheep,0,0.9
000135,car,car,1,1.0
009156,car,car,1,1.0
001939,horse,horse,1,1.0
003756,potted plant,potted plant,1,1.0
001054,dog,dog,1,1.0
005162,person,bird,0,0.8052631578947368
008906,cat,car|cat,0,0.9
009912,cow,cow,1,1.0
001813,tv,tv,1,1.0
005688,cat,cat,1,1.0
001568,aeroplane,aeroplane,1,1.0
006498,cat,cat,1,1.0
001792,person,person,1,1.0
003319,cat,cat|chair,0,0.9
001134,motorbike,car|motorbike,0,0.9
004059,bird,bird,1,1.0
008580,train,train,1,1.0
004964,chair|person|sofa,person|sofa,0,0.9
009536,car|person,car|person,1,1.0
005415,cat|person,dog|person,0,0.8052631578947368
001223,aeroplane,aeroplane,1,1.0
008196,chair|person,person|sofa,0,0.8052631578947368
004144,bus|person,bus|person,1,1.0
009314,bus|person,bus|person,1,1.0
006333,car,car|person,0,0.9
001423,person,person,1,1.0
003099,sofa,sofa,1,1.0
002758,car,car,1,1.0
007770,dog|person,bottle|dog|person,0,0.9
004334,person,person,1,1.0
005892,dog,dog,1,1.0
003305,motorbike|person,motorbike|person,1,1.0
001949,chair|dining table,chair|dining table,1,1.0
003523,car,car,1,1.0
001966,cat,cat,1,1.0
006999,cat,cat,1,1.0
004431,bus,bus,1,1.0
002892,bird,bird,1,1.0
001347,person,bottle|person,0,0.9
001283,car,car,1,1.0
003672,dog,dog|sofa,0,0.9
000425,car,car,1,1.0
009077,car|person,car|person,1,1.0
007710,bicycle,bicycle,1,1.0
006921,motorbike|person,motorbike|person,1,1.0
001301,motorbike|person,motorbike|person,1,1.0
003929,boat|person,boat|person,1,1.0
002926,cat,cat,1,1.0
006974,car,car,1,1.0
002222,cat,cat,1,1.0
004690,person,person,1,1.0
009814,cat,cat,1,1.0
001157,motorbike|person,motorbike|person,1,1.0
000988,person,person,1,1.0
001032,cat,cat,1,1.0
